Time,KZP TH Y 1,KZP TH BM 1,KZP PH 1,KZP PH BM 1
2025-06-05 14:55:03,149.69,1256.57,312.85,690.26
2025-06-05 14:56:03,149.69,1256.57,312.85,690.26
2025-06-05 14:57:02,149.69,1256.57,312.85,690.26
2025-06-05 14:58:02,122.33,1256.57,312.85,690.26
2025-06-05 14:59:03,122.33,1256.57,312.85,690.26
2025-06-05 15:00:03,122.33,1256.57,312.85,690.26
2025-06-05 15:01:04,122.33,1256.57,312.85,690.26
2025-06-05 15:02:03,122.33,1256.57,312.85,690.26
2025-06-05 15:03:03,122.33,1256.57,312.85,690.26
2025-06-05 15:04:04,122.33,1256.57,312.85,690.26
2025-06-05 15:05:04,122.33,1256.57,312.85,690.26
2025-06-05 15:06:02,122.33,1256.57,312.85,690.26
2025-06-05 15:07:03,122.33,1256.57,312.85,690.26
2025-06-05 15:08:02,122.33,1256.57,312.85,690.26
2025-06-05 15:09:03,122.33,1256.57,312.85,690.26
2025-06-05 15:10:03,122.33,1256.57,312.85,690.26
2025-06-05 15:11:03,122.33,1256.57,312.85,690.26
2025-06-05 15:12:02,122.33,1256.57,312.85,690.26
2025-06-05 15:13:04,122.33,1256.57,312.85,690.26
2025-06-05 15:14:03,122.33,1256.57,312.85,690.26
2025-06-05 15:15:03,122.33,1256.57,312.85,690.26
2025-06-05 15:16:02,122.33,1256.57,312.85,690.26
2025-06-05 15:17:03,122.33,1256.57,312.85,690.26
2025-06-05 15:18:03,122.33,1256.57,312.85,690.26
2025-06-05 15:19:03,122.33,1256.57,312.85,690.26
2025-06-05 15:20:04,122.33,1256.57,312.85,690.26
2025-06-05 15:21:03,122.33,1256.57,312.85,690.26
2025-06-05 15:22:04,122.33,1256.57,312.85,690.26
2025-06-05 15:23:04,122.33,1256.57,312.85,690.26
2025-06-05 15:24:02,122.33,1256.57,312.85,690.26
2025-06-05 15:25:03,122.33,1256.57,312.85,0.0
2025-06-05 15:26:02,0.0,0.0,0.0,0.0
2025-06-05 15:27:03,0.0,0.0,0.0,690.26
2025-06-05 15:28:03,122.33,1256.57,312.85,690.26
2025-06-05 15:29:02,122.33,1256.57,312.85,690.26
2025-06-05 15:30:03,122.33,1256.57,312.85,690.26
2025-06-05 15:31:04,122.33,1256.57,312.85,690.26
2025-06-05 15:32:02,122.33,1256.57,312.85,690.26
2025-06-05 15:33:03,122.33,1256.57,312.85,690.26
2025-06-05 15:34:03,122.33,1256.57,312.85,690.26
2025-06-05 15:35:03,122.33,1256.57,312.85,690.26
2025-06-05 15:36:02,122.33,1256.57,312.85,690.26
2025-06-05 15:37:03,122.33,1256.57,312.85,690.26
2025-06-05 15:38:03,122.33,1256.57,312.85,690.26
2025-06-05 15:39:02,122.33,1256.57,312.85,690.26
2025-06-05 15:40:04,122.33,1256.57,312.85,690.26
2025-06-05 15:41:03,122.33,1256.57,312.85,690.26
2025-06-05 15:42:02,122.33,1256.57,312.85,690.26
2025-06-05 15:43:03,122.33,1256.57,312.85,690.26
2025-06-05 15:44:03,122.33,1256.57,312.85,690.26
2025-06-05 15:45:03,122.33,1256.57,312.85,690.26
2025-06-05 15:46:03,122.33,1256.57,312.85,690.26
2025-06-05 15:47:02,122.33,1256.57,312.85,690.26
2025-06-05 15:48:03,122.33,1256.57,312.85,0.0
2025-06-05 15:49:02,0.0,0.0,0.0,0.0
2025-06-05 15:50:06,0.0,0.0,312.85,690.26
2025-06-05 15:51:03,122.33,1256.57,312.85,690.26
2025-06-05 15:52:03,122.33,1256.57,312.85,690.26
2025-06-05 15:53:03,122.33,1256.57,312.85,690.26
2025-06-05 15:54:03,122.33,1256.57,312.85,690.26
2025-06-05 15:55:02,122.33,1256.57,312.85,690.26
2025-06-05 15:56:03,122.33,1256.57,312.85,690.26
2025-06-05 15:57:04,122.33,1256.57,312.85,690.26
2025-06-05 15:58:02,122.33,1256.57,312.85,690.26
2025-06-05 15:59:03,122.33,1256.57,312.85,0.0
2025-06-05 16:00:02,0.0,0.0,0.0,0.0
2025-06-05 16:01:03,0.0,0.0,0.0,0.0
2025-06-05 16:02:03,122.33,1256.57,312.85,690.26
2025-06-05 16:03:03,122.33,1256.57,312.85,690.26
2025-06-05 16:04:03,122.33,1256.57,312.85,690.26
2025-06-05 16:05:05,122.33,1256.57,312.85,690.26
2025-06-05 16:06:02,122.33,1256.57,312.85,690.26
2025-06-05 16:07:03,122.33,1256.57,312.85,690.26
2025-06-05 16:08:03,122.33,1256.57,312.85,690.26
2025-06-05 16:09:03,122.33,1256.57,312.85,690.26
2025-06-05 16:10:04,122.33,1256.57,312.85,690.26
2025-06-05 16:11:02,122.33,1256.57,312.85,690.26
2025-06-05 16:12:02,122.33,1256.57,312.85,690.26
2025-06-05 16:13:03,122.33,1256.57,312.85,690.26
2025-06-05 16:14:03,122.33,1256.57,312.85,690.26
2025-06-05 16:15:03,122.33,1256.57,312.85,690.26
2025-06-05 16:16:03,122.33,1256.57,312.85,690.26
2025-06-05 16:17:03,122.33,1256.57,312.85,690.26
2025-06-05 16:18:03,122.33,1256.57,312.85,690.26
2025-06-05 16:18:35,122.33,1256.57,312.85,690.26
2025-06-05 16:19:03,122.33,1256.57,312.85,690.26
2025-06-05 16:19:37,122.33,1256.57,312.85,690.26
2025-06-05 16:20:03,122.33,1256.57,312.85,690.26
2025-06-05 16:21:03,122.33,1256.57,312.85,690.26
2025-06-05 16:22:03,122.33,1256.57,312.85,690.26
2025-06-05 16:22:48,122.33,1256.57,312.85,690.26
2025-06-05 16:23:03,122.33,1256.57,312.85,690.26
2025-06-05 16:23:42,122.33,1256.57,312.85,690.26
2025-06-05 16:23:53,122.33,1256.57,312.85,690.26
2025-06-05 16:24:03,122.33,1256.57,312.85,690.26
2025-06-05 16:25:03,122.33,1256.57,312.85,690.26
2025-06-05 16:26:03,122.33,1256.57,312.85,690.26
2025-06-05 16:26:11,122.33,1256.57,312.85,690.26
2025-06-05 16:27:03,122.33,1256.57,312.85,690.26
2025-06-05 16:28:03,122.33,1256.57,312.85,690.26
2025-06-05 16:29:02,122.33,1256.57,312.85,690.26
2025-06-05 16:30:03,122.33,1256.57,312.85,690.26
2025-06-05 16:31:03,122.33,1256.57,312.85,690.26
2025-06-05 16:32:03,122.33,1256.57,312.85,690.26
2025-06-05 16:33:03,122.33,1256.57,312.85,690.26
2025-06-05 16:33:46,122.33,1256.57,312.85,690.26
2025-06-05 16:35:32,122.33,1256.57,312.85,690.26
2025-06-05 16:37:30,122.33,1256.57,312.85,690.26
2025-06-05 16:43:05,122.33,1256.57,312.85,690.26
2025-06-05 16:44:02,122.33,1256.57,312.85,690.26
2025-06-05 16:44:54,122.33,1256.57,312.85,690.26
2025-06-05 16:46:54,122.33,1256.57,312.85,690.26
2025-06-05 16:49:24,122.33,1256.57,312.85,690.26
2025-06-05 16:51:29,122.33,1256.57,312.85,690.26
2025-06-05 16:52:27,122.33,1256.57,312.85,690.26
2025-06-05 16:53:35,122.33,1256.57,312.85,690.26
2025-06-05 16:58:06,122.33,1256.57,312.85,690.26
2025-06-05 16:58:50,122.33,1256.57,312.85,690.26
